objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,version_publishers,version_languages,version_yearpublished,version_nickname
"Horizons of Spirit Island","367498","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","109720065","6.97042","8.1338","3.5312","520","11565","thing","Horizons of Spirit Island","1","3","120","120","90","2022","1,2,3","2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Hot Seat","225828","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","109717389","5.5068","5.71557","1","22818","711","thing","Hot Seat","3","99","60","60","30","0","5,6,7,8,9,10,11","6,7,8,9","","Unplayable in another language","","","","","","standalone","","","","",""
"Huddle: The Fantasy Football Game","428717","6","1","0","0","0","0","0","0","0","0","0","3","","","","","","136102832","5.52699","8.4234","2","16825","50","thing","Huddle: The Fantasy Football Game","2","6","150","150","45","2025","2,3,4,6","4,6","12+","","","","","","","standalone","","","","",""
"Hunt A Killer: The Moon Summit Mystery Box Set","346469","6","0","0","0","0","0","0","0","1","0","0","3","","","","","","109746798","0","6.525","0","0","97","thing","Hunt A Killer: The Moon Summit Mystery Box Set","1","6","180","180","30","2019","","","","","","","","","","standalone","","","","",""
"Ice Cream Empire","306005","6","1","0","0","0","0","0","0","0","0","0","3","","","","","","133482234","0","8.295","0","0","32","thing","Ice Cream Empire","2","4","60","60","40","2019","","","","","","","","","","standalone","","","","",""
"Ingenious","9674","7","2","0","0","0","0","0","0","0","0","0","3","","","","","","135007298","6.89395","7.09966","1.906","617","23129","thing","Ingenious","1","4","45","45","30","2004","2,3,4","2","8+","No necessary in-game text","","","","","","standalone","","","","",""
"The Initiative","328908","0","0","0","1","1","0","0","0","0","0","0","3","","","","","","109757740","6.51136","7.53071","2.0164","1257","6511","thing","The Initiative","1","4","60","60","30","2021","2,3,4","4","10+","Unplayable in another language","","","","","","standalone","","","","",""
"InStructures","24518","5","3","0","1","0","0","0","0","0","0","0","3","","","","","","133681387","0","6.8","0","0","57","thing","InStructures","2","8","15","15","15","2012","4","4","6+","No necessary in-game text","","","","","","standalone","","","","",""
"Intel","338838","6","1","0","0","0","0","0","0","1","0","0","3","","","","","","109717365","0","6.34615","0","0","40","thing","Intel","4","6","20","20","15","2021","","","","","","","","","","standalone","","","","",""
"The Isle of Cats: Explore & Draw","338460","8","1","0","0","0","0","0","0","0","0","0","3","","","","","","135007268","6.34205","7.36419","2.2059","1696","5544","thing","The Isle of Cats: Explore & Draw","1","6","45","45","30","2022","1,2,3,4,5,6","2,3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"It's a Wonderful World","271324","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","128472568","7.39215","7.63609","2.3288","179","28698","thing","It's a Wonderful World","1","5","45","45","45","2019","1,2,3,4,5","4","10+","No necessary in-game text","","","","","","standalone","","","","",""
"Jaipur","54043","7","1","0","0","0","0","0","0","0","0","0","3","","","","","","131364560","7.36454","7.48245","1.4641","199","91644","thing","Jaipur","2","2","30","30","30","2009","2","2","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Jenga","2452","5","6","0","0","0","0","0","0","0","0","0","3","","","","","","129995514","5.581","5.66173","1.1026","10177","33775","thing","Jenga","1","8","20","20","20","1983","2,3,4,5,6","4","5+","No necessary in-game text","","","","","","standalone","","","","",""
"Jenga Xtreme","8915","3","2","0","0","0","0","0","0","1","0","0","3","","","","","","130607381","5.47283","5.32672","1.0909","28171","568","thing","Jenga Xtreme","2","8","20","20","20","2003","2,3,4,5","2,3","","","","","","","","standalone","","","","",""
"JOYRIDE: Survival of the Fastest","371183","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","130138487","5.97204","7.30735","2.2381","3265","1416","thing","JOYRIDE: Survival of the Fastest","2","4","60","60","30","2024","2,3,4","3,4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Jump Drive","205597","6","7","0","0","0","0","0","0","0","0","0","3","","","","","","129995816","6.53786","6.9984","2.0238","1207","7306","thing","Jump Drive","2","4","30","30","10","2017","1,2,3,4","3","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Junk Drawer","362366","7","28","0","1","0","0","0","0","0","0","0","3","","","","","","131018565","5.82076","7.10591","1.2","4439","1062","thing","Junk Drawer","1","4","25","25","15","2023","1,2,3,4","2,3","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Just One","254640","8","1","0","1","0","0","0","0","0","0","0","3","","","","","","126185656","7.44047","7.59821","1.0359","154","56558","thing","Just One","3","7","60","60","20","2018","4,5,6,7","6,7","8+","Unplayable in another language","","","","","","standalone","","","","",""
"Kahuna","394","7","1","0","0","0","0","0","0","0","0","0","3","","","","","","136102830","6.39138","6.61117","2.0558","1568","14756","thing","Kahuna","2","2","40","40","30","1998","2","2","10+","No necessary in-game text","","","","","","standalone","","","","",""
"Kalah","2448","6","4","0","1","0","0","0","0","0","0","0","3","","","","","","133681469","5.83979","6.00382","1.5954","4269","16973","thing","Kalah","2","2","10","10","10","1940","2","2","6+","No necessary in-game text","","","","","","standalone","","","","",""
"Ker Plunk","3728","3","1","0","0","0","0","0","0","0","0","0","3","","","","","","133482215","5.1629","4.79767","1.036","29360","3239","thing","Ker Plunk","2","4","20","20","20","1967","2,3,4","2","3+","No necessary in-game text","","","","","","standalone","","","","",""
"King of Monster Island","350755","5","1","0","0","0","0","0","0","0","0","0","3","","","","","","129995785","6.06876","7.12292","2.3143","2745","3778","thing","King of Monster Island","1","5","60","60","45","2022","1,2,3,4,5","2,3","8+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Kingdom Builder: Big Box","139993","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","109720111","6.2392","7.54909","2.325","0","3275","thing","Kingdom Builder: Big Box","2","5","45","45","45","2014","2,3,4,5","3,4","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Kingdomino","204583","7","2","0","1","0","0","0","0","0","0","0","3","","","","","","109720073","7.17564","7.29339","1.2343","321","87980","thing","Kingdomino","2","4","25","25","15","2016","2,3,4","2,4","6+","No necessary in-game text","","","","","","standalone","","","","",""
"Kingdomino Duel","281960","6","0","0","0","0","0","0","0","1","0","0","3","","","","","","109757704","6.10461","6.68287","1.5128","2576","6258","thing","Kingdomino Duel","2","2","20","20","20","2019","2","2","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Kiss the Goblin","386826","6","0","0","1","0","0","0","0","0","0","0","3","","","","","","117122940","5.51329","6.61163","1","20748","132","thing","Kiss the Goblin","2","8","60","60","15","2023","","","","","","","","","","standalone","","","","",""
"Klink","387564","6","1","0","0","0","0","0","0","0","0","0","3","","","","","","132160106","5.52436","6.02217","1.2","17509","236","thing","Klink","3","5","30","30","20","2024","4,5","5","6+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Knitting Circle","421606","8","1","0","1","0","0","0","0","0","0","0","3","","","","","","128833965","5.78309","7.56689","2.1111","4870","2225","thing","Knitting Circle","1","4","45","45","30","2025","1,2,3,4","2","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Kronologic: Paris 1920","402111","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","130138501","6.29599","7.53284","2.1163","1830","4025","thing","Kronologic: Paris 1920","1","4","30","30","30","2024","1,2,3,4","1,3","12+","No necessary in-game text","","","","","","standalone","","","","",""
"Labyrinth","1219","5","1","0","1","0","0","0","0","0","0","0","3","","","","","","133681450","6.2328","6.409","1.3429","2052","32758","thing","Labyrinth","2","4","20","20","20","1986","2,3,4","4","6+","No necessary in-game text","","","","","","standalone","","","","",""
"Lacuna","386937","8","4","0","1","0","0","0","0","0","0","0","3","","","","","","117123064","6.3964","7.38532","1.0698","1555","4637","thing","Lacuna","2","2","15","15","10","2023","2","2","6+","No necessary in-game text","","","","","","standalone","","","","",""
"Last Night on Earth: The Zombie Game","29368","6","0","0","0","0","0","0","0","1","0","0","3","","","","","","131945434","6.61825","6.90043","2.298","1039","19667","thing","Last Night on Earth: The Zombie Game","2","6","90","90","60","2007","2,3,4,5,6","5","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Legendary: A Marvel Deck Building Game","129437","6","1","0","0","0","0","0","0","0","0","0","3","","","","","","135007323","7.23254","7.52192","2.4341","272","36048","thing","Legendary: A Marvel Deck Building Game","1","5","60","60","30","2012","1,2,3,4","3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Let's Go! To Japan","368173","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","130780069","7.03815","7.62101","2.2457","446","11530","thing","Let's Go! To Japan","1","4","60","60","45","2024","1,2,3,4","3","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Let's Hit Each Other with Fake Swords","423729","7","2","0","1","0","0","0","0","0","0","0","3","","","","","","136927250","5.5182","5.85506","1","19236","696","thing","Let's Hit Each Other with Fake Swords","3","6","15","15","15","2024","3,4,5,6","3","6+","","","","","","","standalone","","","","",""
"Leviathan Wilds","358737","9","1","0","0","0","0","0","0","0","0","0","3","","","","","","137059987","6.48125","7.90005","2.4583","1330","4471","thing","Leviathan Wilds","1","4","90","90","45","2024","1,2,3,4","2","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Libertalia","125618","7","0","0","1","1","0","0","0","0","0","0","3","","","","","","109720082","6.87403","7.10599","2.2314","647","15225","thing","Libertalia","2","6","60","60","40","2012","3,4,5,6","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Light Speed: Arena","400498","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","136056782","5.82189","8.06097","1.1","4429","787","thing","Light Speed: Arena","1","4","15","15","5","2025","1,2,3,4","4","6+","No necessary in-game text","","","","","","standalone","","","","",""
"A Little Wordy","335869","5","0","0","1","1","0","0","0","0","0","0","3","","","","","","109717210","5.92682","6.69519","1.24","3573","5115","thing","A Little Wordy","2","2","15","15","5","2021","2","2","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"The Lord of the Rings: The Card Game","77423","0","0","0","0","0","0","0","0","1","0","0","3","","","","","","129017885","7.38832","7.66084","3.2195","181","38518","thing","The Lord of the Rings: The Card Game","1","2","60","60","30","2011","1,2","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"The Lord of the Rings: The Card Game – Foundations of Stone","119640","0","0","0","0","0","0","0","0","1","0","0","3","","","","","","129050985","6.08357","8.11846","2.7083","0","4616","thing","The Lord of the Rings: The Card Game – Foundations of Stone","1","2","60","60","60","2012","1,2","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","",""
"The Lord of the Rings: The Confrontation","18833","6","1","0","0","0","0","0","0","0","0","0","3","","","","","","135007291","6.96844","7.50475","2.1909","526","8215","thing","The Lord of the Rings: The Confrontation","2","2","30","30","30","2005","2","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Lords of Waterdeep","110327","7","2","0","0","0","0","0","0","0","0","0","3","","","","","","130299472","7.58527","7.73071","2.4493","101","73322","thing","Lords of Waterdeep","2","5","120","120","60","2012","2,3,4,5","3,4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Lost Cities","50","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","130598732","7.14909","7.25391","1.4749","342","73758","thing","Lost Cities","2","2","30","30","30","1999","2","2","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Lost Cities: The Board Game","42487","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","109720485","6.3667","6.79914","1.7268","1627","7877","thing","Lost Cities: The Board Game","2","4","60","60","30","2008","2,3,4","3,4","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Lost Ruins of Arnak","312484","8","2","0","0","0","0","0","0","0","0","0","3","","","","","","130331497","7.90396","8.07426","2.9346","28","80404","thing","Lost Ruins of Arnak","1","4","120","120","30","2020","1,2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Lost Ruins of Arnak: Expedition Leaders","341254","8","0","0","0","0","0","0","0","0","0","0","3","","","","","","130331498","7.98638","8.70182","3.1075","0","32565","thing","Lost Ruins of Arnak: Expedition Leaders","1","4","120","120","30","2021","1,2,3,4","3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","",""
"Lotus","198525","0","0","0","1","1","0","0","0","0","0","0","3","","","","","","109717214","6.14963","6.66865","1.4444","2374","5646","thing","Lotus","1","4","30","30","30","2016","2,3,4","3","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Love Letter","129622","5","0","0","1","0","0","0","0","0","0","0","3","","","","","","109717188","7.12385","7.2263","1.1848","363","115884","thing","Love Letter","2","4","20","20","20","2012","3,4","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Machi Koro","143884","0","0","0","1","1","0","0","0","0","0","0","3","","","","","","122999024","6.48125","6.5976","1.5201","1329","58191","thing","Machi Koro","2","4","30","30","30","2012","2,3,4","4","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Machi Koro: Bright Lights, Big City","205494","6","1","0","1","1","0","0","0","0","0","0","3","","","","","","122999030","6.08465","6.64435","1.8333","2665","7417","thing","Machi Koro: Bright Lights, Big City","2","5","30","30","30","2016","2,3,4","3,4","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"The Magic Labyrinth","41916","7","1","0","1","0","0","0","0","0","0","0","3","","","","","","133681492","6.43087","6.81193","1.2091","1464","12683","thing","The Magic Labyrinth","2","4","30","30","20","2009","2,3,4","3,4","4+","No necessary in-game text","","","","","","standalone","","","","",""
"Magic: The Gathering","463","6","1","0","0","0","0","0","0","0","0","0","3","","","","","","134214459","7.40908","7.59144","3.2813","167","46587","thing","Magic: The Gathering","2","6","20","20","20","1993","2,3,4","2","12+","Unplayable in another language","","","","","","standalone","","","","",""
"Mantis Falls","291847","6","0","0","1","0","0","0","0","0","0","0","3","","","","","","109717176","6.16092","7.17389","2.7115","2328","5136","thing","Mantis Falls","2","3","90","90","60","2021","2,3","2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Maple Valley (Kickstarter Edition)","409858","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","122999045","5.69122","7.77138","2","0","1150","thing","Maple Valley (Kickstarter Edition)","1","5","60","60","60","2023","2,3,4","2,3","10+","","","","","","","standalone","","","","",""
"March of the Ants","156496","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","135931645","6.14176","7.12283","2.716","2412","3315","thing","March of the Ants","1","5","90","90","60","2015","1,2,3,4,5","3,4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Mechs vs. Minions","209010","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","109720165","7.63625","7.95779","2.457","85","24903","thing","Mechs vs. Minions","2","4","120","120","60","2016","2,3,4","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"MEOW","298376","5","2","0","1","0","0","0","0","0","0","0","3","","","","","","131512370","5.54696","6.11303","1.1667","13248","436","thing","MEOW","2","6","20","20","20","2020","2,3,4,5","3,4,5","6+","No necessary in-game text","","","","","","standalone","","","","",""
"Merchants of Andromeda","436516","9","6","0","1","0","0","0","0","0","0","0","3","","","","","","128729764","5.5853","6.9913","2.75","9929","680","thing","Merchants of Andromeda","3","5","90","90","45","2025","3,4,5","4","","","","","","","","standalone","","","","",""
"Merchants of Andromeda: Bureaucrats & Anarchists","438433","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","129712682","0","6.5","0","0","354","thing","Merchants of Andromeda: Bureaucrats & Anarchists","3","5","90","90","45","2025","","","","","","","","","","expansion","","","","",""
"Mice and Mystics","124708","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","109717160","6.96075","7.20911","2.7336","536","41628","thing","Mice and Mystics","1","4","90","90","60","2012","1,2,3,4","4","8+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"MicroMacro: Crime City – Full House","338834","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","122999157","6.968","7.65384","1.172","528","15727","thing","MicroMacro: Crime City – Full House","1","4","45","45","15","2021","1,2,3","2","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"The Mind","244992","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","109717383","6.60686","6.73103","1.0755","1058","65519","thing","The Mind","2","4","20","20","20","2018","2,3,4","4","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Mistborn: The Deckbuilding Game","422780","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","130138476","6.39883","7.7427","2.6667","1551","4209","thing","Mistborn: The Deckbuilding Game","1","4","60","60","30","2024","1,2,3,4","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"MLEM: Space Agency","387378","8","3","0","1","0","0","0","0","0","0","0","3","","","","","","128772905","6.61737","7.16522","1.6929","1040","8957","thing","MLEM: Space Agency","2","5","60","60","30","2024","3,4,5","4,5","8+","No necessary in-game text","","","","","","standalone","","","","",""
"MLEM: Space Agency – BLEP: Cosmic Pioneers","409704","6","0","0","1","0","0","0","0","0","0","0","3","","","","","","130546120","5.55525","7.65079","2","0","614","thing","MLEM: Space Agency – BLEP: Cosmic Pioneers","2","5","60","60","30","2024","3,4,5","5","","No necessary in-game text","","","","","","expansion","","","","",""
"Money!","125","6","1","0","1","0","0","0","0","0","0","0","3","","","","","","128777054","6.1414","6.59153","1.5639","2415","5631","thing","Money!","2","5","30","30","15","2025","3,4,5","4,5","8+","No necessary in-game text","","","","","","standalone","","Allplay","English","2025","English edition 2025"
"Monopoly Junior: Bluey","415715","4","3","0","1","0","0","0","0","0","0","0","3","","","","","","128476381","0","4.39286","1","0","60","thing","Monopoly Junior: Bluey","2","4","0","0","0","2022","4","4","4–10","","","","","","","standalone","","","","",""
"Moon Colony Bloodbath","425549","7","3","0","0","0","0","0","0","0","0","0","3","","","","","","135007305","6.46978","7.59833","2.1739","1363","3017","thing","Moon Colony Bloodbath","1","5","90","90","45","2025","1,2,3,4,5","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Mountain Goats","63975","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","109717218","6.37748","6.80773","1.2143","1602","9175","thing","Mountain Goats","2","4","20","20","20","2010","2,3,4","4","6+","No necessary in-game text","","","","","","standalone","","","","",""
"My City","295486","7","1","0","1","0","0","0","0","0","0","0","3","","","","","","117123020","7.25526","7.5957","1.9808","258","24144","thing","My City","2","4","30","30","30","2020","2,3,4","4","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Mysterium","181304","9","2","0","1","0","0","0","0","0","0","0","3","","","","","","128739663","7.05683","7.19809","1.892","432","80787","thing","Mysterium","2","7","42","42","42","2015","3,4,5,6,7","5,6","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Mysterium: Hidden Signs","192661","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","128739687","6.76298","7.73924","1.7317","0","13726","thing","Mysterium: Hidden Signs","2","7","42","42","42","2016","3,4,5,6,7","5,6,7","8+","No necessary in-game text","","","","","","expansion","","","","",""
"Mysterium: Secrets & Lies","216465","9","0","0","1","0","0","0","0","0","0","0","3","","","","","","128739702","6.55519","7.81851","1.7143","0","9979","thing","Mysterium: Secrets & Lies","2","7","42","42","42","2017","3,4,5,6,7","4,5","10+","No necessary in-game text","","","","","","expansion","","","","",""
"Mystic Vale","194607","6","0","0","0","0","0","0","0","0","0","0","3","","","","","","135007362","6.93336","7.23683","2.2591","569","17420","thing","Mystic Vale","2","4","45","45","45","2016","2,3,4","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Mythicals","431304","6","1","0","1","0","0","0","0","0","0","0","3","","","","","","131519141","5.58021","6.30584","1.4","10228","427","thing","Mythicals","2","2","15","15","15","2025","2","2","8","No necessary in-game text","","","","","","standalone","","","","",""
"Nanga Parbat","300305","6","1","0","0","0","0","0","0","0","0","0","3","","","","","","136429774","5.92429","6.78705","1.8333","3590","1717","thing","Nanga Parbat","2","2","30","30","30","2021","2","2","10+","No necessary in-game text","","","","","","standalone","","","","",""
"Near and Far","195421","7","1","0","1","0","0","0","0","0","0","0","3","","","","","","109720087","7.24617","7.65091","2.8929","264","22738","thing","Near and Far","2","4","120","120","90","2017","2,3,4","3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Near and Far: Amber Mines","236667","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","109720176","6.35049","8.10336","2.75","0","6557","thing","Near and Far: Amber Mines","2","4","120","120","60","2018","1,2,3,4","2,3","10+","Unplayable in another language","","","","","","expansion","","","","",""
"Next Station: Tokyo","380165","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","117122948","6.31667","7.16283","1.82","1766","4061","thing","Next Station: Tokyo","1","4","30","30","25","2023","1,2,3,4","2","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Nidavellir","293014","7","2","0","0","0","0","0","0","0","0","0","3","","","","","","136502122","7.27133","7.55964","2.1155","246","20137","thing","Nidavellir","2","5","45","45","45","2020","2,3,4,5","3","10+","No necessary in-game text","","","","","","standalone","","","","",""
"The Night Cage","306709","7","1","0","0","0","0","0","0","0","0","0","3","","","","","","130256972","6.33705","7.10994","2.1389","1711","7829","thing","The Night Cage","1","5","60","60","40","2021","1,2,3,4,5","4","10+","No necessary in-game text","","","","","","standalone","","","","",""
"No Thanks!","12942","8","2","0","1","0","0","0","0","0","0","0","3","","","","","","109757698","6.95363","7.08014","1.1314","545","44451","thing","No Thanks!","3","7","20","20","20","2004","3,4,5,6,7","4,5","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Nova Luna","284435","7","5","0","1","0","0","0","0","0","0","0","3","","","","","","131742935","6.89317","7.263","1.8732","619","14166","thing","Nova Luna","1","4","60","60","30","2019","1,2,3,4","2","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Oath","291572","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","122999296","7.16871","7.72704","4.1162","327","19753","thing","Oath","1","6","150","150","45","2021","3,4,5","4","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Oddland","428636","8","3","0","1","0","0","0","0","0","0","0","3","","","","","","128777011","5.67016","7.00153","1.7143","6757","1305","thing","Oddland","1","5","40","40","40","2025","2,3,4","3","","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Oddland: The Big and the Bold","431706","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","128777017","0","7.29643","2","0","649","thing","Oddland: The Big and the Bold","1","5","40","40","40","2025","","","","","","","","","","expansion","","","","",""
"On Mars","184267","10","0","5","0","0","0","0","0","0","0","0","3","","","","","","130065721","7.74574","8.16948","4.6297","54","22104","thing","On Mars","1","4","150","150","90","2020","1,2,3,4","3","14+","No necessary in-game text","","","","","","standalone","","","","",""
"One Deck Dungeon","179275","6","0","0","1","0","0","0","0","0","0","0","3","","","","","","109713532","6.65421","6.93781","2.0952","974","26417","thing","One Deck Dungeon","1","2","45","45","30","2016","1,2","1","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"One Night Ultimate Werewolf","147949","5","0","0","1","1","0","0","0","0","0","0","3","","","","","","109717191","6.86088","7.03704","1.3778","662","57018","thing","One Night Ultimate Werewolf","3","10","10","10","10","2014","4,5,6,7,8,9,10","6,7,8","10+","No necessary in-game text","","","","","","standalone","","","","",""
"Ora et Labora","70149","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","109717336","7.29819","7.67823","3.8889","234","15197","thing","Ora et Labora","1","4","180","180","60","2011","1,2,3,4","3","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Orbito","383733","5","3","0","0","0","0","0","0","0","0","0","3","","","","","","133482241","5.58872","6.47426","1.2857","9704","654","thing","Orbito","2","2","10","10","10","2022","2","2","6+","No necessary in-game text","","","","","","standalone","","","","",""
"Orléans","164928","7","1","0","0","0","0","0","0","0","0","0","3","","","","","","135007271","7.85998","8.04787","3.0145","37","41820","thing","Orléans","2","5","90","90","90","2014","2,3,4","4","12+","No necessary in-game text","","","","","","standalone","","","","",""
"Outfoxed!","172931","7","1","0","1","0","0","0","0","0","0","0","3","","","","","","133681430","6.59549","7.13894","1.1027","1080","11354","thing","Outfoxed!","2","4","20","20","20","2014","2,3,4","3,4","4–10","No necessary in-game text","","","","","","standalone","","","","",""
"Paint the Roses","253759","9","3","0","1","0","0","0","0","0","0","0","3","","","","","","129430171","6.3953","7.17634","2.4528","1558","4770","thing","Paint the Roses","2","5","70","70","50","2022","2,3,4,5","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Paku Paku","214491","8","7","0","1","0","0","0","0","0","0","0","3","","","","","","122999114","5.80584","6.50845","1","4592","2292","thing","Paku Paku","2","8","10","10","10","2017","3,4,5,6","5","5+","No necessary in-game text","","","","","","standalone","","","","",""
"Penny Arcade: The Game – Gamers vs. Evil","97803","6","0","0","0","0","0","0","0","1","0","0","3","","","","","","131945418","5.74559","6.45443","2.2414","5342","1724","thing","Penny Arcade: The Game – Gamers vs. Evil","2","4","45","45","30","2011","2,3,4","4","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Penny Arcade: The Game – Rumble in R'lyeh","115288","6","0","0","0","0","0","0","0","1","0","0","3","","","","","","131945404","5.67842","6.90764","2.1579","6581","1157","thing","Penny Arcade: The Game – Rumble in R'lyeh","2","4","45","45","30","2012","2,3,4","2,4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Perspectives Blue","427087","8","12","0","0","0","0","0","0","0","0","0","3","","","","","","135007287","5.6721","7.60128","1.3333","6713","721","thing","Perspectives Blue","2","6","90","90","90","2024","2,3,4","3,4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Perudo","45","5","1","0","0","0","0","0","0","0","0","0","3","","","","","","135007274","6.72448","6.9271","1.2507","852","23057","thing","Perudo","2","10","30","30","15","1800","3,4,5,6,7","5,6","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Photosynthesis","218603","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","109720049","6.77589","6.94001","2.2602","779","42131","thing","Photosynthesis","2","4","60","60","30","2017","2,3,4","3","10+","No necessary in-game text","","","","","","standalone","","","","",""
"Pictionary","2281","7","1","0","1","0","0","0","0","0","0","0","3","","","","","","133681485","5.70881","5.84552","1.2249","5943","15425","thing","Pictionary","3","16","90","90","90","2013","4,5,6,7,8,9,10,12","6,8","8+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","Mattel, Inc.","English","2013","Mattel English edition 2013"
